Section,Feature,Anonymous,Customer Center L1,Customer Center L2,Agent,Sales Rep,Administrator
Storefront (SCA),Category / product listing page,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
Storefront (SCA),Product detail page,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
Storefront (SCA),View contract pricing,Not Allowed,Allowed: own price only,Allowed: own price only,Allowed: own + assigned customers,Allowed,Allowed
Storefront (SCA),View inventory availability,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed
Storefront (SCA),Add to cart,Not Allowed,Allowed,Allowed,Allowed: own only,Not Applicable,Allowed
Storefront (SCA),Request for quote (RFQ),Not Allowed,Allowed: own only,Allowed: own only,Allowed: own only,Not Applicable,Allowed
Checkout (SCA),Place order,Not Allowed,Not Allowed,Allowed,Not Applicable,Not Applicable,Allowed
Checkout (SCA),Invoice as payment method,Not Allowed,Not Allowed,Allowed,Not Applicable,Not Applicable,Allowed
Checkout (SCA),Saved credit cards,Not Allowed,Not Allowed,Not Allowed,Not Applicable,Not Applicable,Allowed
My Account (SCA),Order history,Not Allowed,Allowed: own only,Allowed: own + parent,Allowed: own + assigned customers,Allowed,Allowed
My Account (SCA),Invoices,Not Allowed,Not Allowed,Allowed: own + parent,Allowed: own + assigned customers,Allowed,Allowed
My Account (SCA),Quotes / estimates,Not Allowed,Allowed: own only,Allowed: own + parent,Allowed: own + assigned customers,Allowed,Allowed
My Account (SCA),Return authorizations (RMA),Not Allowed,Allowed: read only,Allowed: read only,Allowed: read only,Allowed,Allowed
My Account (SCA),Manage contacts,Not Allowed,Not Allowed,Allowed: own company,Not Applicable,Not Allowed,Allowed
ERP transactions,Create sales order,Not Allowed,Not Applicable,Not Applicable,Not Allowed,Allowed,Allowed
ERP transactions,Approve sales order,Not Allowed,Not Applicable,Not Applicable,Not Allowed,Not Allowed,Allowed
ERP transactions,View item record,Not Allowed,Not Applicable,Not Applicable,Allowed: read only,Allowed,Allowed
Customization,Custom pricing record (view),Not Allowed,Not Applicable,Not Applicable,Allowed: read only,Allowed,Allowed
Customization,Custom pricing record (edit),Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Allowed
Customization,Role permissions Suitelet,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Allowed
Integration,Trigger sync manually,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Allowed
Integration,View integration error log,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Allowed: read only,Allowed
